zona_u_r;eval_gob_1;iden_pol_2;confianza_8_a;interes_pol_1_b;democracia_21;democracia_19;constitucion_4_a;constitucion_4_b;estallido_5;sexo;edad;bienestar_21;gse
URBANA;1. - APRUEBA;7;3.- NORMALMENTE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;2.- RECHAZO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;19;2.- Les alcanza justo, sin grandes dificultades;2. - C2
URBANA;2. - DESAPRUEBA;;2.- NORMALMENTE SE PUEDE CONFIAR EN LA GENTE;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;4;Si;1.- APRUEBO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;1. - HOMBRE;21;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;2.- NORMALMENTE SE PUEDE CONFIAR EN LA GENTE;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;4;No;;2.- INICIALMENTE LAS RECHAZÓ, PERO DESPUÉS LAS APOYÓ;2. - MUJER;62;;2. - C2
URBANA;1. - APRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;2.- EN ALGUNAS CIRCUNSTANCIAS, UN GOBIERNO AUTORITARIO PUEDE SER PREFERIBLE A UNO DEMOCRÁTICO;5;Si;;1.- LAS APOYÓ;1. - HOMBRE;32;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;4;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;1.- Que haya libertades públicas y privadas;;;1.- LAS APOYÓ;2. - MUJER;50;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;3. - (no leer) NO APRUEBA NI DESAPRUEBA;5;3.- NORMALMENTE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;1.- APRUEBO;5.- LAS RECHAZÓ;2. - MUJER;62;3.- No les alcanza, tienen algunas dificultades;4. - D
URBANA;3. - (no leer) NO APRUEBA NI DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;;No;;9 No constesta;2. - MUJER;83;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;1.- Que haya libertades públicas y privadas;No;;5.- LAS RECHAZÓ;2. - MUJER;26;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;3. - (no leer) NO APRUEBA NI DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;;7;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;44;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;;2;3.- NORMALMENTE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;10.- Que haya orden público y seguridad ciudadana;No;;5.- LAS RECHAZÓ;2. - MUJER;31;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;27;3.- No les alcanza, tienen algunas dificultades;4. - D
URBANA;2. - DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;No;;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;36;4.- No les alcanza, tienen grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;No;;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;33;3.- No les alcanza, tienen algunas dificultades;4. - D
URBANA;;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;6;No;;5.- LAS RECHAZÓ;2. - MUJER;65;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;1. - APRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;2.- BASTANTE INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;No;;1.- LAS APOYÓ;2. - MUJER;37;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;3. - (no leer) NO APRUEBA NI DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;28;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;1.- APRUEBO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;43;1.- Les alcanza bien, pueden ahorrar;3. - C3
URBANA;;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;No;;9 No constesta;2. - MUJER;29;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;3. - (no leer) NO APRUEBA NI DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;7;No;;5.- LAS RECHAZÓ;2. - MUJER;69;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;1. - APRUEBA;6;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;2.- EN ALGUNAS CIRCUNSTANCIAS, UN GOBIERNO AUTORITARIO PUEDE SER PREFERIBLE A UNO DEMOCRÁTICO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;28;1.- Les alcanza bien, pueden ahorrar;2. - C2
URBANA;1. - APRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;7;Si;1.- APRUEBO;5.- LAS RECHAZÓ;2. - MUJER;53;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;1. - APRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;9;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;1. - HOMBRE;19;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;3. - (no leer) NO APRUEBA NI DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;;10.- Que haya orden público y seguridad ciudadana;No;;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;35;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;8;3.- NORMALMENTE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;20;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;61;2.- Les alcanza justo, sin grandes dificultades;2. - C2
URBANA;2. - DESAPRUEBA;5;2.- NORMALMENTE SE PUEDE CONFIAR EN LA GENTE;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;36;2.- Les alcanza justo, sin grandes dificultades;2. - C2
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;2.- EN ALGUNAS CIRCUNSTANCIAS, UN GOBIERNO AUTORITARIO PUEDE SER PREFERIBLE A UNO DEMOCRÁTICO;10.- Que haya orden público y seguridad ciudadana;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;23;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;5;3.- NORMALMENTE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;48;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;No;;1.- LAS APOYÓ;2. - MUJER;20;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;Si;;1.- LAS APOYÓ;2. - MUJER;50;4.- No les alcanza, tienen grandes dificultades;3. - C3
URBANA;3. - (no leer) NO APRUEBA NI DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;5.- LAS RECHAZÓ;2. - MUJER;49;1.- Les alcanza bien, pueden ahorrar;3. - C3
URBANA;2. - DESAPRUEBA;10.- Derecha;3.- NORMALMENTE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;5.- LAS RECHAZÓ;2. - MUJER;45;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;2. - DESAPRUEBA;5;3.- NORMALMENTE HAY QUE SER CUIDADOSO;2.- BASTANTE INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;No;;1.- LAS APOYÓ;2. - MUJER;77;1.- Les alcanza bien, pueden ahorrar;1. - ABC1
URBANA;2. - DESAPRUEBA;3;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;1.- APRUEBO;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;65;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;1.- MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;21;2.- Les alcanza justo, sin grandes dificultades;1. - ABC1
RURAL;2. - DESAPRUEBA;;2.- NORMALMENTE SE PUEDE CONFIAR EN LA GENTE;5.- NADA INTERESADO;;5;No;;5.- LAS RECHAZÓ;2. - MUJER;22;3.- No les alcanza, tienen algunas dificultades;4. - D
RURAL;1. - APRUEBA;8;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;5;No;;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;18;1.- Les alcanza bien, pueden ahorrar;3. - C3
RURAL;1. - APRUEBA;6;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;2.- EN ALGUNAS CIRCUNSTANCIAS, UN GOBIERNO AUTORITARIO PUEDE SER PREFERIBLE A UNO DEMOCRÁTICO;7;No;;1.- LAS APOYÓ;2. - MUJER;20;3.- No les alcanza, tienen algunas dificultades;3. - C3
RURAL;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;1.- APRUEBO;1.- LAS APOYÓ;1. - HOMBRE;20;3.- No les alcanza, tienen algunas dificultades;4. - D
RURAL;2. - DESAPRUEBA;3;3.- NORMALMENTE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;43;2.- Les alcanza justo, sin grandes dificultades;3. - C3
RURAL;3. - (no leer) NO APRUEBA NI DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;30;2.- Les alcanza justo, sin grandes dificultades;4. - D
RURAL;3. - (no leer) NO APRUEBA NI DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;2.- EN ALGUNAS CIRCUNSTANCIAS, UN GOBIERNO AUTORITARIO PUEDE SER PREFERIBLE A UNO DEMOCRÁTICO;8;Si;2.- RECHAZO;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;51;3.- No les alcanza, tienen algunas dificultades;4. - D
URBANA;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;20;2.- Les alcanza justo, sin grandes dificultades;1. - ABC1
URBANA;2. - DESAPRUEBA;7;3.- NORMALMENTE HAY QUE SER CUIDADOSO;1.- MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;1. - HOMBRE;18;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;4;3.- NORMALMENTE HAY QUE SER CUIDADOSO;2.- BASTANTE INTERESADO;2.- EN ALGUNAS CIRCUNSTANCIAS, UN GOBIERNO AUTORITARIO PUEDE SER PREFERIBLE A UNO DEMOCRÁTICO;7;Si;1.- APRUEBO;1.- LAS APOYÓ;1. - HOMBRE;20;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;1. - APRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;2;No;;5.- LAS RECHAZÓ;1. - HOMBRE;29;1.- Les alcanza bien, pueden ahorrar;3. - C3
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;1.- MUY INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;58;3.- No les alcanza, tienen algunas dificultades;2. - C2
URBANA;2. - DESAPRUEBA;6;3.- NORMALMENTE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;54;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;5;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;6;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;61;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;No;;1.- LAS APOYÓ;2. - MUJER;27;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;9;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;31;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;2. - DESAPRUEBA;1.- Izquierda;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;2.- BASTANTE INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;64;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;6;No;;1.- LAS APOYÓ;2. - MUJER;22;2.- Les alcanza justo, sin grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;2;3.- NORMALMENTE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;5;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;23;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;6;3.- NORMALMENTE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;Si;1.- APRUEBO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;1. - HOMBRE;27;3.- No les alcanza, tienen algunas dificultades;4. - D
URBANA;2. - DESAPRUEBA;7;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- ALGO INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;5.- LAS RECHAZÓ;2. - MUJER;38;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;;9;Si;2.- RECHAZO;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;67;2.- Les alcanza justo, sin grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;10.- Que haya orden público y seguridad ciudadana;Si;1.- APRUEBO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;55;4.- No les alcanza, tienen grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;No;;5.- LAS RECHAZÓ;2. - MUJER;55;2.- Les alcanza justo, sin grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;5;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;2.- BASTANTE INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;1.- APRUEBO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;30;3.- No les alcanza, tienen algunas dificultades;4. - D
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;No;;1.- LAS APOYÓ;2. - MUJER;65;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;2;3.- NORMALMENTE HAY QUE SER CUIDADOSO;1.- MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;Si;1.- APRUEBO;1.- LAS APOYÓ;2. - MUJER;65;2.- Les alcanza justo, sin grandes dificultades;3. - C3
